idpozo,pet_2024,pet_2025,gas_2024,gas_2025,var_pet,var_gas
48681,537.81724,317.39349,36.967278,46.681994,-40.98,26.28
48683,999.6024600000001,1035.62895,372.08178,86.305479,3.6,-76.8
48684,338.76008,331.37954,22.833934,37.767835,-2.18,65.4
48685,196.387061,187.15646,0.0,282.08903,-4.7,
48686,105.602675,98.105988,312.497334,196.94393,-7.1,-36.98
48687,668.5075400000001,0.0,20.21502,0.0,-100.0,-100.0
48688,0.0,0.0,0.0,0.0,,
48689,0.0,0.0,0.0,0.0,,
48690,735.89578,585.4827300000001,117.24780799999999,253.41061200000001,-20.44,116.13
48691,1378.95669,1160.90351,92.523411,56.640308000000005,-15.81,-38.78
48694,0.0,0.0,0.0,0.0,,
48696,102.644402,0.0,0.0,0.0,-100.0,
48697,0.0,0.0,0.0,0.0,,
48698,0.0,0.0,0.0,0.0,,
48699,857.6660899999999,451.91824,104.105921,73.988299,-47.31,-28.93
48700,0.0,0.0,0.0,0.0,,
48705,8.002851,0.0,0.845464,0.0,-100.0,-100.0
48706,1212.09657,744.90539,56.058761,85.34609900000001,-38.54,52.24
48707,438.06145,344.78209,0.0,0.0,-21.29,
48708,173.65968,254.61845,12.698929,11.410365,46.62,-10.15
48709,125.057732,0.0,1.320595,0.0,-100.0,-100.0
48710,317.46542999999997,228.05571,0.0,0.0,-28.16,
48712,782.57309,1133.66908,17.162182,66.21973,44.86,285.85
48713,0.0,0.0,0.0,0.0,,
48714,0.0,0.0,0.0,0.0,,
48715,433.96932,534.49483,0.0,175.013099,23.16,
48716,831.01153,297.2369,0.0,0.0,-64.23,
48718,500.17949,560.18712,0.0,0.0,12.0,
48719,181.704664,150.58877,0.0,0.0,-17.12,
48720,343.91103,452.46052,0.0,0.0,31.56,
48721,472.30787,721.36217,16.238261,7.2737929999999995,52.73,-55.21
48722,103.40582,160.290058,457.03282,415.92706,55.01,-8.99
48724,635.43392,495.99386,136.542392,238.36054,-21.94,74.57
48726,262.258498,21.566855,69.409142,137.749346,-91.78,98.46
48727,569.99699,380.6568,35.654992,32.452072,-33.22,-8.98
48728,2132.8999,812.8669199999999,0.0,0.0,-61.89,
48729,0.0,0.0,0.0,0.0,,
48730,0.0,0.0,0.0,0.0,,
48732,1177.33963,918.87854,87.590181,86.933271,-21.95,-0.75
48733,310.854605,152.388595,44.093761,16.651509,-50.98,-62.24
48736,1483.33421,719.54576,64.966974,82.093722,-51.49,26.36
48737,168.321855,293.2164,9.451478,8.021223,74.2,-15.13
48738,0.0,0.0,0.0,0.0,,
48739,88.572481,120.72114400000001,0.0,0.0,36.3,
48740,0.0,0.0,0.0,0.0,,
48741,369.52565,346.58698,58.059442,22.647493,-6.21,-60.99
48742,818.64618,677.79388,46.515247,52.324965,-17.21,12.49
48743,0.0,0.0,0.0,0.0,,
48744,1698.43013,723.20343,130.711542,20.202486,-57.42,-84.54
48745,477.05376,438.13704,524.35762,633.85164,-8.16,20.88
48746,572.84444,26.381961,2791.8067,1714.6118999999999,-95.39,-38.58
48747,362.55437,230.31182,0.0,0.0,-36.48,
48748,156.927815,299.21398,8.583914,30.141313,90.67,251.14
48749,99.482094,153.54351,42.897831000000004,25.31249,54.34,-40.99
48750,597.92799,499.24595999999997,14.31618,0.0,-16.5,-100.0
48751,135.641872,114.20751299999999,20.465164,99.312612,-15.8,385.28
48752,453.78349,186.067725,11.081776000000001,16.735059,-59.0,51.01
48754,895.65059,734.7023,192.45335,314.10384,-17.97,63.21
48755,1211.40282,1114.99135,0.0,0.0,-7.96,
48756,459.09882,510.10563,29.304617,14.947649,11.11,-48.99
48757,1233.79357,1154.39318,20.995242,85.407084,-6.44,306.79
48758,832.16474,876.60325,23.983169,50.675513,5.34,111.3
48760,0.0,0.0,0.0,0.0,,
48761,0.0,0.0,0.0,0.0,,
48762,0.0,0.0,0.0,0.0,,
48765,470.48623,216.20945,40.101921,24.249205,-54.05,-39.53
48766,262.04413,180.24565,0.0,0.0,-31.22,
48767,183.52586,199.13789,0.0,0.0,8.51,
48769,308.46955,200.12679,0.0,0.0,-35.12,
48770,145.40040199999999,186.93084,0.0,0.0,28.56,
48772,398.1683,283.90916,0.0,0.0,-28.7,
48774,224.43774,234.19707,0.0,0.0,4.35,
48776,96.40481,0.0,0.0,0.0,-100.0,
48778,149.194268,322.59058,60.85657,76.924194,116.22,26.4
48780,1052.43108,820.6696000000001,22.858094,5.2250630000000005,-22.02,-77.14
48781,114.01031,41.072776,0.0,0.0,-63.97,
48782,465.55384,256.19361,0.0,0.0,-44.97,
48783,184.579492,61.967307999999996,427.27054,369.58217,-66.43,-13.5
48784,709.9432,694.6542900000001,365.92333,449.698,-2.15,22.89
48785,438.36611,374.92341,867.65276,637.45036,-14.47,-26.53
48786,0.0,0.0,0.0,0.0,,
48787,77.077129,34.357311,0.0,0.0,-55.42,
48788,1232.86961,715.15815,0.0,0.0,-41.99,
48789,267.8788,242.16542,4.206646,0.0,-9.6,-100.0
48790,124.195026,580.85181,18.980041999999997,38.376592,367.69,102.19
48791,0.0,0.0,0.0,0.0,,
48792,939.30244,1048.82602,280.608958,315.31774,11.66,12.37
48793,400.80201,228.8838,144.013017,21.954749,-42.89,-84.76
48794,614.60827,565.27282,138.508655,109.636793,-8.03,-20.84
48796,621.77378,776.25692,339.16382,110.708557,24.85,-67.36
48798,44.38825,329.01023,72.88741300000001,90.514043,641.21,24.18
48799,4266.3263,6569.2905,0.0,0.0,53.98,
48800,178.21482600000002,386.13423,0.696183,0.0,116.67,-100.0
48801,1.271567,11.33165,8730.4506,6455.0978,791.16,-26.06
48802,0.307933,12.045981999999999,30282.645,27952.37,3811.88,-7.7
48803,778.46724,557.72803,0.0,0.0,-28.36,
48804,0.0,0.0,0.0,0.0,,
48805,144.491453,99.210865,0.0,0.0,-31.34,
48807,703.47529,644.02122,562.98362,646.17089,-8.45,14.78
48808,230.47151,291.61218,0.0,0.0,26.53,
48810,258.18525999999997,153.08137,1287.82388,696.62271,-40.71,-45.91
48811,858.13844,523.67351,25.296898,20.897421,-38.98,-17.39
48812,132.631562,107.06117,3.596573,0.0,-19.28,-100.0
48813,1289.87717,1043.17608,1178.55508,276.158148,-19.13,-76.57
48814,526.47655,24.350241,21.412623,0.0,-95.37,-100.0
48815,286.17322,274.58624,54.04169,48.18507,-4.05,-10.84
48816,221.55629,241.09736,79.314826,0.0,8.82,-100.0
48817,180.34742,280.51094,204.096056,500.01044,55.54,144.99
48819,147.64398,146.905724,69.28470399999999,127.490486,-0.5,84.01
48820,370.201392,136.621733,200.64797,167.765284,-63.1,-16.39
48821,0.0,0.0,0.0,0.0,,
48823,115.07759300000001,37.852665,4.061876,18.320833999999998,-67.11,351.04
48824,1190.53131,917.14322,1.4671589999999999,0.300833,-22.96,-79.5
48825,406.46077,322.83961,0.0,0.0,-20.57,
48826,229.77048,330.79847,8.984433,2.034436,43.97,-77.36
48827,332.82889,130.365982,61.530943,11.118254,-60.83,-81.93
48828,0.0,3.243519,3112.1182,477.60269999999997,,-84.65
48829,316.52982,255.219,0.0,0.0,-19.37,
48830,0.0,0.0,0.0,0.0,,
48831,453.19029,591.78408,162.367363,311.148932,30.58,91.63
48832,0.0,0.0,0.0,0.0,,
48833,409.05326,262.1502,49.590945,0.0,-35.91,-100.0
48834,201.285857,60.274509,0.0,0.0,-70.06,
48835,125.868774,112.633825,254.63563,272.47166,-10.51,7.0
48837,173.54877199999999,113.993649,54.955217,73.03746,-34.32,32.9
48838,0.0,0.0,0.0,0.0,,
48839,102.086149,13.62758,2.006082,0.638216,-86.65,-68.19
48840,249.130234,149.047435,2.416761,6.130883,-40.17,153.68
48841,0.0,0.0,0.0,0.0,,
48842,234.80087,141.392723,0.0,0.0,-39.78,
48843,1407.7026,1091.8933,73.090556,77.989332,-22.43,6.7
48844,416.76132,317.14761,330.69585,268.12441,-23.9,-18.92
48846,366.58055,355.41577,60.852953,30.699189,-3.05,-49.55
48847,0.0,0.0,0.0,0.0,,
48848,430.36039,513.00772,0.001913,0.00801,19.2,318.71
48849,351.69843,438.07779,93.72865,361.24217999999996,24.56,285.41
48850,107.735193,192.392921,2.728656,0.0,78.58,-100.0
48851,1243.22781,634.50796,1858.5499,1076.92777,-48.96,-42.06
48852,495.84284,437.90797,149.38604700000002,0.0,-11.68,-100.0
48853,325.75769,218.07116,0.0,0.0,-33.06,
48854,282.221902,68.944042,313.440155,239.73968,-75.57,-23.51
48855,335.07359,517.91427,352.636974,102.428225,54.57,-70.95
48856,0.0,0.0,0.0,0.0,,
48857,44.517922,133.442457,4.960723,40.235856,199.75,711.09
48859,265.22737,143.194352,4.945331,46.55963,-46.01,841.49
48861,0.0,0.0,0.0,0.0,,
48862,226.41462,234.31889999999999,724.24028,1405.504,3.49,94.07
48863,681.06455,138.754904,2265.4846,782.08623,-79.63,-65.48
48864,885.04115,647.58951,150.013169,287.33544,-26.83,91.54
