idpozo,1,2,3,4,5,6,7,8,9,10,11,primer_semestre,segundo_semestre,variacion
565,7.429257,6.493511,4.847761,1.448282,0.0,0.0,0.0,1.209604,1.72166,2.81846,2.329262,20.218811,8.078986,-60.04
566,78.12044,77.32638,83.16678,69.74093,88.69054,100.6091,105.1676,56.74329,40.09276,65.29976,39.39036,497.65417,306.69377,-38.37
567,77.60077,75.18953,79.06925,72.09791,68.77242,66.18852,64.52206,31.33472,18.16225,17.43698,3.211358,438.9184,134.66736799999998,-69.32
568,8.004213,7.663182,8.094134,7.362196,8.328822,8.224696,7.967953,3.896189,2.874595,4.704047,3.328691,47.677243000000004,22.771475,-52.24
570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
572,95.053,86.82259,86.97991,62.96956,84.73067,88.56258,84.69677,38.95321,30.23863,47.91488,28.71206,505.11831000000006,230.51555000000002,-54.36
573,6.377884,8.153922,9.141701,8.347174,9.147096,7.352493,12.22012,10.10154,16.19631,20.96349,22.9415,48.520270000000004,82.42296,69.87
574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
578,0.0,0.0,0.0,1.438625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.438625,0.0,-100.0
579,18.29339,15.31406,20.35365,21.68861,17.56177,18.68822,19.01172,19.85238,20.0674,18.00443,0.582133,111.8997,77.518063,-30.73
