idpozo,empresa,provincia,tipo_de_recurso,prod_pet,prod_gas,prod_agua,iny_agua,iny_gas,tef,inyeccion_total,eficiencia_pet
164570,YPF S.A.,Neuquén,NO CONVENCIONAL,35508.96,5038.46,2780.95,0.0,0.0,355.38,0.0,
164659,YPF S.A.,Neuquén,NO CONVENCIONAL,35459.88,8178.36,3639.5099999999998,0.0,0.0,356.54,0.0,
165215,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,35268.811,1336.292,4186.995,0.0,0.0,243.856,0.0,
164654,YPF S.A.,Neuquén,NO CONVENCIONAL,35055.8,5968.47,42889.49,0.0,0.0,330.98,0.0,
164009,SHELL ARGENTINA S.A.,Neuquén,NO CONVENCIONAL,35038.05,2826.13,142.06,0.0,0.0,295.44,0.0,
164790,YPF S.A.,Neuquén,NO CONVENCIONAL,34849.73,5717.1,22425.71,0.0,0.0,325.88,0.0,
165418,YPF S.A.,Neuquén,NO CONVENCIONAL,34802.11,3322.76,25289.39,0.0,0.0,189.13,0.0,
165101,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,34582.684,2383.618,13085.976,0.0,0.0,276.083,0.0,
165178,YPF S.A.,Neuquén,NO CONVENCIONAL,34484.74,4815.92,1561.27,0.0,0.0,275.59,0.0,
164655,YPF S.A.,Neuquén,NO CONVENCIONAL,34356.28,9935.11,12275.06,0.0,0.0,304.79,0.0,
165031,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,34321.669,4752.925,13060.189,0.0,0.0,272.344,0.0,
164302,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,34221.004,4477.59,3722.691,0.0,0.0,359.682,0.0,
165201,PLUSPETROL S.A.,Neuquén,NO CONVENCIONAL,34150.922,30236.494,30826.785,0.0,0.0,138.72916,0.0,
165092,KILWER S.A.,Neuquén,NO CONVENCIONAL,34034.6828,2412.19631,6683.67165,0.0,0.0,317.13194,0.0,
164623,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,33866.196,2371.145,5088.148,0.0,0.0,358.632,0.0,
164972,YPF S.A.,Neuquén,NO CONVENCIONAL,33846.04,6538.99,30712.79,0.0,0.0,317.44,0.0,
165184,YPF S.A.,Neuquén,NO CONVENCIONAL,33770.02,4104.98,6358.15,0.0,0.0,270.1,0.0,
164933,SHELL ARGENTINA S.A.,Neuquén,NO CONVENCIONAL,33739.56,3142.09,4236.13,0.0,0.0,325.48,0.0,
163425,YPF S.A.,Neuquén,NO CONVENCIONAL,33606.7,4685.29,5342.82,0.0,0.0,352.11,0.0,
164300,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,33521.015,4157.499,3693.981,0.0,0.0,359.11199999999997,0.0,
165167,YPF S.A.,Neuquén,NO CONVENCIONAL,33342.96,2234.93,16595.78,0.0,0.0,264.39,0.0,
164568,YPF S.A.,Neuquén,NO CONVENCIONAL,33279.11,7800.45,3630.09,0.0,0.0,348.44,0.0,
164409,YPF S.A.,Neuquén,NO CONVENCIONAL,33163.11,6144.6900000000005,24530.18,0.0,0.0,329.05,0.0,
163943,YPF S.A.,Neuquén,NO CONVENCIONAL,33154.75,4471.41,17505.34,0.0,0.0,336.29,0.0,
164455,PLUSPETROL S.A.,Neuquén,NO CONVENCIONAL,33038.731,70149.16500000001,13396.017,0.0,0.0,194.0625,0.0,
160694,YPF S.A.,Neuquén,NO CONVENCIONAL,33027.41,5334.82,3537.01,0.0,0.0,364.5,0.0,
164585,PLUSPETROL S.A.,Neuquén,NO CONVENCIONAL,33015.101,70970.32,19674.14,0.0,0.0,192.18749,0.0,
164658,YPF S.A.,Neuquén,NO CONVENCIONAL,32967.15,7480.73,7395.29,0.0,0.0,352.59,0.0,
164625,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,32910.97,2414.069,4139.405000000001,0.0,0.0,358.036,0.0,
165267,YPF S.A.,Neuquén,NO CONVENCIONAL,32837.06,3452.35,5125.200000000001,0.0,0.0,246.46,0.0,
165421,YPF S.A.,Neuquén,NO CONVENCIONAL,32803.15,4959.73,26431.949999999997,0.0,0.0,197.84,0.0,
165217,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,32795.516,1317.167,6871.492,0.0,0.0,255.427,0.0,
164726,YPF S.A.,Neuquén,NO CONVENCIONAL,32784.93,2454.5299999999997,19525.2,0.0,0.0,330.6,0.0,
165496,YPF S.A.,Neuquén,NO CONVENCIONAL,32715.37,3231.99,22045.14,0.0,0.0,179.78,0.0,
163493,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,32676.273,3725.087,3677.114,0.0,0.0,362.564,0.0,
164789,YPF S.A.,Neuquén,NO CONVENCIONAL,32669.86,6017.03,19614.29,0.0,0.0,308.05,0.0,
163424,YPF S.A.,Neuquén,NO CONVENCIONAL,32639.78,5038.82,15813.039999999999,0.0,0.0,348.3,0.0,
164572,YPF S.A.,Neuquén,NO CONVENCIONAL,32597.41,4480.39,11063.57,0.0,0.0,328.2,0.0,
164805,YPF S.A.,Neuquén,NO CONVENCIONAL,32594.24,2949.84,2880.19,0.0,0.0,357.66,0.0,
164724,YPF S.A.,Neuquén,NO CONVENCIONAL,32392.84,2283.31,14676.45,0.0,0.0,336.47,0.0,
164807,YPF S.A.,Neuquén,NO CONVENCIONAL,32293.98,7017.74,12959.41,0.0,0.0,341.81,0.0,
165351,YPF S.A.,Neuquén,NO CONVENCIONAL,32197.559999999998,5344.67,44934.2,0.0,0.0,209.82,0.0,
165186,YPF S.A.,Neuquén,NO CONVENCIONAL,32176.82,3881.0099999999998,6070.64,0.0,0.0,275.18,0.0,
164501,TECPETROL S.A.,Neuquén,NO CONVENCIONAL,32145.2487,4954.29098,13600.14516,0.0,0.0,175.031241,0.0,
165269,YPF S.A.,Neuquén,NO CONVENCIONAL,31945.36,3387.52,3647.44,0.0,0.0,246.94,0.0,
165185,YPF S.A.,Neuquén,NO CONVENCIONAL,31932.25,3880.04,5024.01,0.0,0.0,274.15,0.0,
164651,YPF S.A.,Neuquén,NO CONVENCIONAL,31824.190000000002,4532.01,22674.19,0.0,0.0,320.96,0.0,
165176,YPF S.A.,Neuquén,NO CONVENCIONAL,31817.16,4458.84,1196.0,0.0,0.0,271.1,0.0,
162954,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,31811.989,2244.745,3009.89,0.0,0.0,363.479,0.0,
165436,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,31784.89,3317.2960000000003,9729.351,0.0,0.0,174.158,0.0,
164445,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,31718.567,4274.907,3969.089,0.0,0.0,358.53,0.0,
165374,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,31698.228,4430.853,22942.703999999998,0.0,0.0,200.807,0.0,
164465,YPF S.A.,Neuquén,NO CONVENCIONAL,31604.73,4436.01,29562.760000000002,0.0,0.0,328.54,0.0,
165170,YPF S.A.,Neuquén,NO CONVENCIONAL,31482.13,2047.47,15909.28,0.0,0.0,286.24,0.0,
165354,YPF S.A.,Neuquén,NO CONVENCIONAL,31479.46,6342.5,13546.95,0.0,0.0,222.19,0.0,
165188,YPF S.A.,Neuquén,NO CONVENCIONAL,31417.91,3771.49,6923.75,0.0,0.0,272.81,0.0,
165353,YPF S.A.,Neuquén,NO CONVENCIONAL,31328.93,6532.2,17459.34,0.0,0.0,222.22,0.0,
165559,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,31247.682999999997,3330.302,11756.999,0.0,0.0,115.66,0.0,
164965,YPF S.A.,Neuquén,NO CONVENCIONAL,31168.420000000002,2435.28,15035.4,0.0,0.0,335.9,0.0,
162955,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,31118.494000000002,1632.136,3316.652,0.0,0.0,364.151,0.0,
164712,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,30989.999,3297.854,9152.489,0.0,0.0,359.127,0.0,
165276,YPF S.A.,Neuquén,NO CONVENCIONAL,30964.27,11399.81,19419.46,0.0,0.0,250.55,0.0,
164930,SHELL ARGENTINA S.A.,Neuquén,NO CONVENCIONAL,30963.23,2833.6,1850.68,0.0,0.0,329.37,0.0,
164723,YPF S.A.,Neuquén,NO CONVENCIONAL,30775.23,2107.0099999999998,11610.83,0.0,0.0,337.79,0.0,
163810,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,30667.487,3431.965,1804.352,0.0,0.0,360.959,0.0,
